,twitter_handle,display_name,followers_count,following_count,acct_created
0,@ClaudeDBF_bq,Claude DeBellefeuille,402,93,2019-09-16 02:52:59
1,@MumilaaqQaqqaq,Mumilaaq Qaqqaq,45880,74,2019-09-13 03:08:31
2,@AnnieKoutrakis,Annie Koutrakis,774,337,2019-09-08 18:45:24
3,@JaimeBattiste,Jaime Battiste,1019,372,2019-08-28 14:22:12
4,@PatrickBWeiler,Patrick Weiler,1253,385,2019-08-16 04:30:36
5,@SameerZuberi,Sameer Zuberi \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,1492,1620,2019-07-08 11:50:58
6,@MSidhuLiberal,Maninder Sidhu,2361,561,2019-06-25 02:16:54
7,@LucDesiletsBQ,"Luc Desilets, d\xc3\xa9put\xc3\xa9 de Rivi\xc3\xa8re-des-Mille-\xc3\x8eles\xe2\x9a\x9c\xef\xb8\x8f\xf0\x9f\x8e\x97",1978,3282,2019-06-24 18:50:34
8,@TurnbullWhitby,Ryan Turnbull,5255,4007,2019-06-16 02:57:17
9,@MHGaudreauBQ,"Marie-H\xc3\xa9l\xc3\xa8ne Gaudreau, d\xc3\xa9put\xc3\xa9e\xe2\x9a\x9c\xef\xb8\x8f\xf0\x9f\x8e\x97",1471,832,2019-05-06 23:31:55
10,@JeremyPatzerMP,Jeremy Patzer,1515,262,2019-04-03 03:20:21
11,@AlexRuff17,Alex Ruff,2585,1103,2019-01-18 02:15:11
12,@ScotDavidsonMP,Scot Davidson,1485,270,2019-01-14 16:55:54
13,@MPDerekSloan,MP Derek Sloan,31612,140,2018-12-11 21:38:30
14,@GregMcLeanYYC,Greg McLean,3067,423,2018-09-26 00:01:50
15,@ChrisLewisEssex,Chris Lewis MP Essex,1598,468,2018-08-29 13:41:51
16,@DaveEppCKL,Dave Epp,1003,682,2018-08-05 21:55:52
17,@PLawrenceMP,"Philip Lawrence, MP",1810,1199,2018-04-26 01:14:35
18,@BradRedekopp,Brad Redekopp MP,1630,159,2018-01-21 19:18:05
19,@richardmartelpc,Richard Martel,2151,252,2017-12-19 17:42:44
20,@DougShipleyBSOM,Doug Shipley,1334,908,2017-07-08 19:48:41
21,@Lianne_Rood,Lianne Rood,3344,351,2017-06-19 17:09:31
22,@PatriciaLattan3,Patricia Lattanzio,698,179,2017-05-26 23:20:05
23,@MarilynGladuSL,Marilyn Gladu,5026,1671,2016-10-26 14:17:35
24,@SimonMarcilQc,Simon Marcil \xe2\x9a\x9c\xef\xb8\x8f,932,628,2016-08-22 14:50:13
25,@BobBenzen,Bob Benzen \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,3964,1192,2016-05-30 19:05:09
26,@DLeBlancNB,Dominic LeBlanc,10942,622,2016-04-14 11:50:20
27,@GlenMotz,Glen Motz,4392,669,2016-04-13 02:59:06
28,@Joelgodinpjc,Jo\xc3\xabl Godin,498,240,2016-03-16 19:08:15
29,@rosemarie_falk,Rosemarie Falk,1575,260,2016-02-08 01:24:37
30,@ziad_aboultaif,Ziad Aboultaif,2307,433,2015-12-22 14:46:29
31,@m_pauze,Monique Pauz\xc3\xa9,2968,1006,2015-12-16 15:28:37
32,@MinCanadaFA,@MinCanadaFA,10495,500,2015-12-01 16:29:03
33,@PeterFonsecaMP,Peter Fonseca \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,2522,489,2015-11-17 17:14:46
34,@MinJusticeEn,Min. David Lametti (he/him),9836,15,2015-10-30 18:38:23
35,@RachaelHarderMP,Rachael Harder,8861,311,2015-10-27 16:40:31
36,@FilomenaTassi,Filomena Tassi,9663,919,2015-10-23 18:38:37
37,@TerryDowdall,Terry Dowdall,1886,833,2015-09-11 20:19:52
38,@sergecormierlib,Serge Cormier,2750,36,2015-08-15 02:51:15
39,@GillMarilene,Maril\xc3\xa8ne Gill \xe2\x9a\x9c\xef\xb8\x8f,3780,1543,2015-08-04 00:52:29
40,@marwantabbaramp,Marwan Tabbara MP,6465,1140,2015-08-01 01:18:32
41,@ArnoldViersen,"Arnold Viersen, MP",4424,1071,2015-08-28 22:36:34
42,@TerrySheehanMP,Terry Sheehan,4852,691,2015-07-06 23:09:28
43,@Gabriel_SMarie,Gabriel Ste-Marie,3432,1316,2015-07-03 14:02:43
44,@GinettePT,Ginette Petitpas Taylor,13796,1268,2015-06-22 14:13:49
45,@PatFinniganMP,MP Pat Finnigan,1704,202,2015-06-15 14:08:59
46,@KevinWaugh_CPC,Kevin Waugh,4829,498,2015-08-19 20:31:17
47,@F_ElKhoury,Fay\xc3\xa7al El-Khoury \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,5143,509,2015-06-09 14:25:57
48,@KellyMcCauleyMP,"Kelly McCauley, MP",3550,885,2015-08-14 04:30:34
49,@McDonald4Avalon,Ken McDonald,5063,539,2015-05-15 16:06:18
50,@MMcLeodNWT,Michael McLeod,3303,1174,2015-06-11 21:15:10
51,@BlanchetteMax,Maxime Blanchette-Joncas,1242,1314,2015-05-05 03:58:27
52,@BillBlair,Bill Blair,35008,583,2015-04-23 01:11:34
53,@SoniaLiberal,Sonia Sidhu,15665,1613,2015-04-20 22:00:52
54,@stephanelauzon5,St\xc3\xa9phane Lauzon \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,4018,732,2015-04-20 17:20:18
55,@DiLebouthillier,Diane Lebouthillier,15763,668,2015-04-07 02:44:23
56,@GenereuxBernard,Bernard Genereux,2215,507,2015-04-03 14:59:53
57,@MartinBowRiver,"Martin Shields, MP",3655,1729,2015-03-29 15:09:38
58,@RaquelDancho,Raquel Dancho,9181,923,2015-03-10 16:19:53
59,@ToddDohertyMP,Todd Doherty,5819,2377,2015-01-21 04:29:32
60,@JenOConnell_,Jennifer O'Connell,8796,737,2015-01-17 22:01:52
61,@BobBratina,Bob Bratina,5498,908,2015-01-17 19:00:52
62,@michelboudrias,Michel Boudrias,1304,246,2015-01-10 21:00:43
63,@ShannonStubbsMP,Shannon Stubbs,9666,756,2015-01-07 18:08:05
64,@YRobillardPLC,Yves Robillard,4621,566,2014-12-26 16:32:09
65,@Shaun_Chen,Shaun Chen,7560,1229,2014-12-20 19:27:20
66,@LefebvrePaul,Paul (Still physically distancing) Lefebvre,4943,1049,2014-12-02 19:21:48
67,@HonAhmedHussen,Ahmed Hussen,86620,1139,2014-11-06 04:51:01
68,@adhillonDLL,Anju Dhillon,7229,738,2014-11-13 06:33:41
69,@CQualtro,Carla Qualtrough,25039,1614,2014-10-31 03:02:38
70,@jyduclos,Jean-Yves Duclos,18544,960,2014-10-28 23:32:20
71,@MorrisseyEgmont,Robert Morrissey,1563,234,2014-09-11 18:22:45
72,@darrellsamson,Darrell Samson,5331,361,2014-09-04 12:44:39
73,@KateYoungMP,Kate Young,7747,4519,2014-08-24 18:01:01
74,@TracyGrayKLC,Tracy Gray,1785,489,2014-08-15 04:02:01
75,@BernJordanMP,Bernadette Jordan,12423,1292,2014-08-13 14:20:58
76,@BardishKW,Bardish Chagger,41403,1851,2014-07-31 21:59:57
77,@TimLouisKitCon,Tim Louis,2604,1064,2014-07-24 21:18:35
78,@RajSaini4KitCen,Rajsaini4kitcen,6011,1578,2014-07-22 00:35:14
79,@Daniel_Blaikie,Daniel Blaikie,3308,249,2014-07-09 00:20:46
80,@JonathanWNV,Jonathan Wilkinson \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,19250,3359,2014-06-20 22:20:19
81,@SylvieFBerube,Sylvie B\xc3\xa9rub\xc3\xa9,1327,523,2014-06-20 18:32:35
82,@PatKelly_MP,Pat Kelly,4639,490,2014-06-08 18:49:14
83,@JeanYip3,Jean Yip,5230,988,2014-05-21 23:34:06
84,@HonEdFast,Ed Fast,9773,1845,2014-04-23 15:32:06
85,@LeonaAlleslev,Leona Alleslev,11094,1472,2014-04-15 13:44:40
86,@Yasmin_Ratansi,Yasmin Ratansi MP for Don Valley East,7767,27,2014-03-15 15:22:03
87,@ChristineNorm,Christine Normandin,2321,422,2014-03-06 19:38:30
88,@SalmaZahid15,Salma Zahid,18211,2387,2014-02-15 02:27:27
89,@YaaraSaks,Ya'ara Saks \xd7\x99\xd7\xa2\xd7\xa8\xd7\x94 \xd7\x96\xd7\xa7\xd7\xa1,2631,914,2014-02-08 02:49:33
90,@AryaCanada,Chandra Arya,5917,18,2014-02-04 18:23:45
91,@jimcarr_wpg,Jim Carr,23183,1594,2014-02-01 16:37:29
92,@Webber4Confed,"Len Webber, MP",4515,903,2014-01-17 00:21:08
93,@DavidYurdiga,David Yurdiga,2587,605,2014-01-11 00:48:24
94,@RonLiepert,Ron Liepert,3297,116,2013-12-19 23:10:27
95,@pablorodriguez,Pablo Rodriguez,13961,807,2013-12-12 21:23:23
96,@MajidJowhari,Majid Jowhari,9842,993,2013-12-04 02:58:28
97,@MPTedFalk,Ted Falk,3425,467,2013-12-03 21:45:01
98,@MichaelChongMP,Michael Chong \xf0\x9f\x87\xa8\xf0\x9f\x87\xa6,24959,914,2013-11-30 17:50:05
99,@TOAdamVaughan,Adam Vaughan MP,18986,2022,2013-11-14 19:02:11
100,@Laurel_BC,Laurel Collins,7430,1527,2013-10-31 20:00:19
101,@Cooper4SAE,"Michael Cooper, MP",8482,271,2013-10-22 18:16:32
102,@GaryAVidal,"Gary Vidal, MP",1213,723,2013-10-12 19:19:44
103,@beynate,Nate Erskine-Smith,10624,3187,2013-10-06 22:31:04
104,@JulieDzerowicz,Julie Dzerowicz,9369,694,2013-10-06 21:34:47
